SVM_1	SVM_2	SVM_3	SVM_4	SVM_5	SVM_6	SVM_7	SVM_8	SVM_9	SVM_10
0.0007272386754595912	0.0013986977978550942	0.0010577591741582465	0.0014548755795509003	0.000830310461143106	0.0010984498440683257	0.0009979892127412401	0.0008583956729768411	0.0009551396673546375	0.001147746760656479
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.822079207920792	0.8152475247524752	0.8942	0.8326732673267325	0.8271287128712872	0.8411881188118813	0.8271287128712871	0.8808910891089109	0.8436633663366336	0.8406930693069306
0.012323054045715506	0.014225762420326152	0.015045265035884228	0.015434116107049393	0.01875551743805482	0.01243904853428864	0.007722772277227712	0.010520704678800544	0.00843562032256363	0.017437833339194776
0.0012323054045715507	0.0014225762420326151	0.0015045265035884229	0.0015434116107049393	0.001875551743805482	0.0012439048534288641	0.0007722772277227712	0.0010520704678800544	0.000843562032256363	0.0017437833339194776
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
0.31039603960396034	0.24168316831683176	0.36410000000000003	0.4054455445544555	0.32336633663366326	0.34900990099009893	0.27792079207920795	0.3908910891089109	0.35336633663366335	0.5166336633663366
0.01087983216625541	0.01930540740373063	0.01581739548724758	0.025412005480615046	0.011307953691302369	0.017676803040947642	0.014501148422048454	0.014312325544231804	0.015946127813850644	0.025101694937131096
0.001087983216625541	0.0019305407403730629	0.001581739548724758	0.0025412005480615046	0.0011307953691302368	0.0017676803040947643	0.0014501148422048453	0.0014312325544231805	0.0015946127813850643	0.0025101694937131095
FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR
0.17792079207920788	0.18475247524752472	0.1058	0.16732673267326728	0.17287128712871283	0.1588118811881188	0.1728712871287128	0.11910891089108913	0.15633663366336628	0.1593069306930693
0.012323054045715539	0.014225762420326185	0.015045265035884213	0.015434116107049402	0.01875551743805485	0.01243904853428864	0.007722772277227717	0.010520704678800535	0.008435620322563625	0.017437833339194773
0.001232305404571554	0.0014225762420326184	0.0015045265035884214	0.0015434116107049401	0.001875551743805485	0.0012439048534288641	0.0007722772277227717	0.0010520704678800535	0.0008435620322563625	0.0017437833339194772
TP	TP	TP	TP	TP	TP	TP	TP	TP	TP
83.03	82.34	89.42	84.1	83.54	84.96	83.54	88.97	85.21	84.91
1.2446284586172693	1.4368020044529446	1.5045265035884212	1.5588457268119893	1.8943072612435399	1.2563439019631526	0.7800000000000001	1.0625911725588537	0.8519976525789258	1.7612211672586724
0.12446284586172693	0.14368020044529445	0.15045265035884212	0.15588457268119893	0.189430726124354	0.12563439019631525	0.07800000000000001	0.10625911725588537	0.08519976525789258	0.17612211672586725
TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
69.65	76.59	63.59	60.05	68.34	65.75	72.93	61.52	65.31	48.82
