RF_1	RF_2	RF_3	RF_4	RF_5	RF_6	RF_7	RF_8	RF_9	RF_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.8867954122144889	0.8996681697872756	0.8978325000000001	0.8818057053230076	0.8562768356043526	0.8587805117145377	0.9021473384962261	0.8735378884423095	0.8910508773649642	0.8616248407018919
0.003997589115530944	0.004481681831895054	0.005214428899697444	0.005915755687321987	0.004950005459624811	0.006450305992272887	0.005148457992320446	0.00438600973052277	0.005046771142782256	0.005562576129094379
0.00039975891155309446	0.00044816818318950543	0.0005214428899697444	0.0005915755687321987	0.0004950005459624811	0.0006450305992272887	0.0005148457992320446	0.000438600973052277	0.0005046771142782256	0.0005562576129094379
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.897809468661963	0.9074703133504375	0.8977913769267132	0.8689770871190742	0.8653904985402444	0.8653722886250675	0.9075249945363234	0.896268976768098	0.8980217344990891	0.8657549047622213
0.0042410918097250455	0.0051338938862848255	0.006595727787337947	0.008474216238126673	0.004713322344498303	0.006461271822580464	0.0056030083997106244	0.004595739252643784	0.004987756336953493	0.006552766989916338
0.00042410918097250455	0.0005133893886284825	0.0006595727787337947	0.0008474216238126672	0.0004713322344498303	0.0006461271822580464	0.0005603008399710624	0.0004595739252643784	0.0004987756336953494	0.0006552766989916338
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.804950495049505	0.7994554455445545	0.8087000000000001	0.8005445544554455	0.787722772277228	0.7417821782178217	0.7921782178217822	0.7830693069306933	0.8133663366336634	0.7463366336633663
0.00845940964882922	0.00844476683243711	0.012422157622571019	0.009242853994610624	0.010897387917531183	0.014171219025951937	0.010935552801168782	0.009454797551794394	0.011725464635967303	0.010574146178077623
0.000845940964882922	0.000844476683243711	0.001242215762257102	0.0009242853994610624	0.0010897387917531182	0.0014171219025951938	0.0010935552801168782	0.0009454797551794394	0.0011725464635967302	0.0010574146178077624
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.8065262850704094	0.8119151123752895	0.8264028773923278	0.8249375486566987	0.7965460719210782	0.7705237665832461	0.8024717856745762	0.7994787651624299	0.8110104588965694	0.7757011728737179
0.008034633239180822	0.008226277280870522	0.011408117991260363	0.00774167472285393	0.010182546796573008	0.012314157877137964	0.010035398506785441	0.008798017959905818	0.01172707237898009	0.009520624498246298
0.0008034633239180822	0.0008226277280870522	0.0011408117991260362	0.000774167472285393	0.0010182546796573008	0.0012314157877137963	0.001003539850678544	0.0008798017959905818	0.001172707237898009	0.0009520624498246298
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.8002505801477027	0.7644671379247703	0.756479626784212	0.7351586476186454	0.7649202760090826	0.6934841903195924	0.7647918757522851	0.7433061990321	0.8215259457690594	0.6952354038234934
0.01165839979030022	0.009151438688332117	0.011900770604390036	0.009054694225284087	0.012411345666460127	0.012855249319036666	0.012665145765784355	0.009254289478584228	0.014176149235258414	0.00877962972147123
0.0011658399790300219	0.0009151438688332116	0.0011900770604390035	0.0009054694225284086	0.0012411345666460127	0.0012855249319036666	0.0012665145765784354	0.0009254289478584229	0.0014176149235258415	0.000877962972147123
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.813069306930693	0.8658415841584158	0.9108000000000002	0.9398019801980197	0.8310891089108909	0.8670297029702971	0.8442574257425745	0.8649504950495052	0.8008910891089109	0.8773267326732674
0.011226168541036296	0.014643761839355498	0.017645396000090227	0.010353993237545612	0.013919256848150457	0.017106378158700353	0.013708849537134795	0.012642288870900896	0.013495525296160639	0.013853958405935158
0.0011226168541036295	0.0014643761839355498	0.0017645396000090228	0.0010353993237545611	0.0013919256848150458	0.0017106378158700353	0.0013708849537134794	0.0012642288870900896	0.0013495525296160639	0.0013853958405935158
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
0.20316831683168318	0.266930693069307	0.2934	0.3387128712871286	0.25564356435643565	0.3834653465346535	0.25990099009900997	0.29881188118811874	0.17415841584158406	0.3846534653465347
0.015111908141258545	0.014342430861173717	0.0182877007849538	0.015164684310277262	0.017341153828856575	0.021182334733783288	0.017951944915315588	0.013674840927223405	0.015785482342923363	0.013674482492013014
0.0015111908141258546	0.0014342430861173717	0.00182877007849538	0.001516468431027726	0.0017341153828856575	0.002118233473378329	0.001795194491531559	0.0013674840927223404	0.0015785482342923363	0.0013674482492013014
FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR
0.18693069306930693	0.13415841584158414	0.0892	0.06019801980198021	0.16891089108910887	0.13297029702970298	0.15574257425742571	0.13504950495049506	0.19910891089108915	0.1226732673267327
0.011226168541036328	0.014643761839355486	0.01764539600009022	0.010353993237545642	0.013919256848150471	0.01710637815870034	0.013708849537134794	0.012642288870900886	0.013495525296160642	0.013853958405935146
0.0011226168541036328	0.0014643761839355485	0.001764539600009022	0.0010353993237545642	0.0013919256848150471	0.001710637815870034	0.0013708849537134794	0.0012642288870900885	0.0013495525296160643	0.0013853958405935147
TP	TP	TP	TP	TP	TP	TP	TP	TP	TP
82.12	87.45	91.08	94.92	83.94	87.57	85.27	87.36	80.89	88.61
1.1338430226446694	1.479019945774904	1.7645396000090219	1.0457533169921096	1.4058449416631977	1.7277441940287344	1.384593803250614	1.2768711759609896	1.363048054912225	1.3992497989994495
0.11338430226446694	0.1479019945774904	0.1764539600009022	0.10457533169921096	0.14058449416631977	0.17277441940287344	0.1384593803250614	0.12768711759609896	0.1363048054912225	0.13992497989994496
TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
80.48	74.04	70.66	66.79	75.18	62.27	74.75	70.82	83.41	62.15
1.5263027222671128	1.4485855169785453	1.8287700784953806	1.5316331153380038	1.751456536714514	2.139415808112112	1.8131464364468746	1.3811589336495638	1.5943337166352596	1.3811227316933135
0.15263027222671127	0.14485855169785453	0.18287700784953806	0.1531633115338004	0.1751456536714514	0.2139415808112112	0.18131464364468747	0.1381158933649564	0.15943337166352595	0.13811227316933133
FP	FP	FP	FP	FP	FP	FP	FP	FP	FP
20.52	26.96	29.34	34.21	25.82	38.73	26.25	30.18	17.59	38.85
1.526302722267113	1.4485855169785455	1.8287700784953804	1.531633115338004	1.751456536714514	2.139415808112112	1.8131464364468746	1.3811589336495638	1.5943337166352596	1.3811227316933135
0.1526302722267113	0.14485855169785455	0.18287700784953803	0.15316331153380042	0.1751456536714514	0.2139415808112112	0.18131464364468747	0.1381158933649564	0.15943337166352595	0.13811227316933133
FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
18.88	13.55	8.92	6.08	17.06	13.43	15.73	13.64	20.11	12.39
1.1338430226446694	1.4790199457749043	1.764539600009022	1.0457533169921096	1.4058449416631977	1.727744194028734	1.3845938032506142	1.2768711759609896	1.363048054912225	1.3992497989994495
0.11338430226446694	0.14790199457749043	0.17645396000090222	0.10457533169921096	0.14058449416631977	0.17277441940287339	0.13845938032506142	0.12768711759609896	0.1363048054912225	0.13992497989994496
