RF_1	RF_2	RF_3	RF_4	RF_5	RF_6	RF_7	RF_8	RF_9	RF_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.8030461605457977	0.8095300479024533	0.8181947670198866	0.815039555813616	0.8364116707795037	0.7951186674408477	0.8283542604151548	0.8333678690666279	0.8360393380751924	0.8099825809261142
0.003980566079420856	0.005420984942091574	0.005002967970852201	0.003749334422763063	0.004639551637340492	0.00459189891414009	0.0037862794548372786	0.003973414900963968	0.004271913284413514	0.004216829306144914
0.0003980566079420856	0.0005420984942091574	0.0005002967970852201	0.0003749334422763063	0.00046395516373404916	0.00045918989141400894	0.00037862794548372786	0.0003973414900963968	0.0004271913284413514	0.00042168293061449144
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.8073003735978136	0.8181247387820116	0.8103727643582722	0.8171658020694358	0.8371112481445026	0.8089544851442048	0.8347404874820705	0.8215824596000938	0.8299811375552401	0.7985345644845592
0.0056444691202758865	0.00716664231194331	0.007526313166157653	0.005325630641505697	0.005161700858125364	0.00532531698301098	0.005089970018701505	0.005197279675521995	0.006067472127040406	0.005743349782269777
0.0005644469120275887	0.0007166642311943309	0.0007526313166157653	0.0005325630641505697	0.0005161700858125364	0.000532531698301098	0.0005089970018701505	0.0005197279675521995	0.0006067472127040406	0.0005743349782269776
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.7156927710843374	0.7126807228915663	0.7300301204819277	0.7252108433734941	0.7574397590361446	0.7023493975903614	0.7203915662650603	0.7412951807228914	0.7704518072289156	0.7234337349397589
0.008550132658121523	0.00999795849389164	0.00818983602634886	0.007818049451587277	0.009680396752665224	0.007308547343787456	0.008636283329753495	0.008421839718003315	0.007729821806416306	0.008826688899493215
0.0008550132658121523	0.000999795849389164	0.0008189836026348859	0.0007818049451587276	0.0009680396752665225	0.0007308547343787456	0.0008636283329753495	0.0008421839718003315	0.0007729821806416305	0.0008826688899493216
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.7509038459952773	0.7460145853176853	0.753399553707809	0.7568665469906907	0.7710529198759546	0.7502179038858385	0.7533839295892968	0.7780762075661042	0.7825882993490589	0.7571050663788585
0.006775037142280765	0.008498736491496094	0.006932737128554116	0.0067336775595022635	0.008410969913599449	0.0058458332535566366	0.007688813293388928	0.007103080582312485	0.007099053432429221	0.007453111436271333
0.0006775037142280765	0.0008498736491496094	0.0006932737128554115	0.0006733677559502264	0.0008410969913599448	0.0005845833253556637	0.0007688813293388928	0.0007103080582312485	0.0007099053432429221	0.0007453111436271333
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.6682438559702182	0.6685401324977698	0.6934686290250892	0.6787313907150847	0.7302307409980593	0.6463139529167193	0.6739003196112122	0.6812701857221544	0.7433650558939228	0.6749968700198171
0.00800303061252143	0.009031160562950056	0.00835621398322485	0.007128982444497725	0.010713141655823306	0.005854790705449651	0.007435127313402428	0.00720885010332619	0.008485304434861196	0.007961669577779154
0.000800303061252143	0.0009031160562950056	0.000835621398322485	0.0007128982444497725	0.0010713141655823307	0.0005854790705449651	0.0007435127313402428	0.000720885010332619	0.0008485304434861197	0.0007961669577779154
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.856987951807229	0.8439156626506024	0.8247590361445784	0.8554216867469882	0.8168072289156627	0.8939759036144579	0.8542168674698796	0.9070481927710844	0.8262650602409639	0.8620481927710845
0.008755480626035737	0.011990675963410705	0.00909997535484836	0.010293980416045215	0.009336183370645826	0.008126950339296406	0.011804769844738201	0.011213722334158427	0.009437665555453558	0.010589395079064413
0.0008755480626035737	0.0011990675963410705	0.000909997535484836	0.0010293980416045214	0.0009336183370645826	0.0008126950339296406	0.0011804769844738201	0.0011213722334158427	0.0009437665555453558	0.0010589395079064414
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
0.4256024096385542	0.4185542168674699	0.36469879518072296	0.405	0.3019277108433735	0.4892771084337349	0.413433734939759	0.4244578313253012	0.2853614457831326	0.4151807228915663
0.014838732453919997	0.01590361445783132	0.013905618865352635	0.012859858540358735	0.015552905602992695	0.011256520182767602	0.012854213423192734	0.013562112827293997	0.012217336793817844	0.01411953613346357
0.0014838732453919998	0.0015903614457831322	0.0013905618865352634	0.0012859858540358736	0.0015552905602992694	0.0011256520182767603	0.0012854213423192733	0.0013562112827293997	0.0012217336793817844	0.001411953613346357
FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR
0.1430120481927711	0.15608433734939758	0.17524096385542168	0.14457831325301204	0.18319277108433737	0.10602409638554217	0.14578313253012049	0.09295180722891568	0.17373493975903614	0.13795180722891567
0.008755480626035744	0.011990675963410698	0.009099975354848355	0.01029398041604522	0.00933618337064583	0.00812695033929641	0.011804769844738208	0.011213722334158422	0.009437665555453563	0.010589395079064425
0.0008755480626035743	0.0011990675963410697	0.0009099975354848356	0.001029398041604522	0.0009336183370645829	0.000812695033929641	0.0011804769844738208	0.0011213722334158422	0.0009437665555453563	0.0010589395079064424
TP	TP	TP	TP	TP	TP	TP	TP	TP	TP
142.26	140.09	136.91	142.0	135.59	148.4	141.8	150.57	137.16	143.1
1.453409783921933	1.9904522099261766	1.5105959089048269	1.7088007490635062	1.5498064395272075	1.349073756323204	1.9595917942265426	1.8614779074702985	1.566652482205291	1.7578395831246942
0.14534097839219332	0.19904522099261765	0.15105959089048268	0.17088007490635063	0.15498064395272076	0.13490737563232041	0.19595917942265426	0.18614779074702986	0.1566652482205291	0.17578395831246943
TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
95.35	96.52	105.46	98.77	115.88	84.78	97.37	95.54	118.63	97.08
2.46322958735072	2.6399999999999997	2.308332731648538	2.1347365176995496	2.581782330096788	1.8685823503394228	2.133799428249994	2.251310729330805	2.0280779077737625	2.3438429981549533
0.246322958735072	0.26399999999999996	0.23083327316485378	0.21347365176995498	0.2581782330096788	0.18685823503394228	0.2133799428249994	0.2251310729330805	0.20280779077737626	0.23438429981549533
FP	FP	FP	FP	FP	FP	FP	FP	FP	FP
70.65	69.48	60.54	67.23	50.12	81.22	68.63	70.46	47.37	68.92
2.46322958735072	2.6399999999999997	2.308332731648538	2.1347365176995496	2.5817823300967877	1.8685823503394228	2.133799428249994	2.251310729330805	2.028077907773762	2.3438429981549533
0.246322958735072	0.26399999999999996	0.23083327316485378	0.21347365176995498	0.2581782330096788	0.18685823503394228	0.2133799428249994	0.2251310729330805	0.2028077907773762	0.23438429981549533
FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
23.74	25.91	29.09	24.0	30.41	17.6	24.2	15.43	28.84	22.9
1.453409783921933	1.9904522099261766	1.5105959089048269	1.7088007490635062	1.5498064395272073	1.3490737563232043	1.9595917942265424	1.8614779074702983	1.5666524822052912	1.7578395831246945
0.14534097839219332	0.19904522099261765	0.15105959089048268	0.17088007490635063	0.15498064395272074	0.13490737563232041	0.19595917942265423	0.18614779074702983	0.15666524822052913	0.17578395831246946
