LogReg_1	LogReg_2	LogReg_3	LogReg_4	LogReg_5	LogReg_6	LogReg_7	LogReg_8	LogReg_9	LogReg_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.8256637392945275	0.8272405283785745	0.8325279430976922	0.8334947016983597	0.8531684569603716	0.8057203512846566	0.8349107272463346	0.8485876034257512	0.8386260705472494	0.827374800406445
0.004365064083287097	0.002607231722311023	0.0023623031298086006	0.002330929006548659	0.0029093240189179328	0.0034581063788700762	0.004124516630145671	0.0034655003496295842	0.003180523255310802	0.003018992165330273
0.0004365064083287097	0.0002607231722311023	0.00023623031298086007	0.0002330929006548659	0.00029093240189179327	0.00034581063788700764	0.00041245166301456706	0.0003465500349629584	0.00031805232553108016	0.0003018992165330273
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.8136089276567582	0.8353767853722098	0.8312063663217648	0.8358533931228446	0.8549962447154568	0.8154495985829726	0.8409132326294118	0.8387846175572607	0.837047042104115	0.8256565027686363
0.006821129889391627	0.0027954851721961375	0.0029834013124401997	0.0025563236136187557	0.0031278562654227255	0.003699566700602756	0.0050612679936880445	0.004430018102730267	0.0038426246569360505	0.0032798281872265887
0.0006821129889391627	0.0002795485172196137	0.00029834013124401996	0.0002556323613618756	0.00031278562654227254	0.0003699566700602756	0.0005061267993688044	0.0004430018102730267	0.00038426246569360506	0.0003279828187226589
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.7643373493975907	0.7250903614457832	0.7098493975903614	0.716144578313253	0.7592168674698797	0.7038253012048193	0.7427409638554215	0.7564759036144579	0.7446686746987952	0.7436746987951807
0.00565302950931475	0.004126725875772089	0.005023081432253228	0.004687970230926197	0.005300177885198589	0.006390300000613208	0.0076210771709045895	0.005768288554881197	0.005197070732720498	0.004828680584904039
0.000565302950931475	0.0004126725875772089	0.0005023081432253228	0.0004687970230926197	0.0005300177885198588	0.0006390300000613208	0.000762107717090459	0.0005768288554881197	0.0005197070732720498	0.00048286805849040394
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.7733225834430242	0.7594721583078798	0.748616388011688	0.7641581642670985	0.7812258278232673	0.741910266663058	0.7579964070958445	0.7836472875843011	0.7693482660444202	0.7737831021011772
