SVM_1	SVM_2	SVM_3	SVM_4	SVM_5	SVM_6	SVM_7	SVM_8	SVM_9	SVM_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.8082689795325882	0.789924880243867	0.7963296559732906	0.8179641457395849	0.7524738713891712	0.7469999274205255	0.7544523878647119	0.835566119901292	0.813651473363333	0.7949368558571637
0.0031031236139671407	0.003149481134864847	0.002873543306827441	0.002653608123013231	0.002625667470750172	0.0033494545007858095	0.004335166287069673	0.002230641445407082	0.002901223121837903	0.00326000661781304
0.0003103123613967141	0.0003149481134864847	0.00028735433068274413	0.0002653608123013231	0.0002625667470750172	0.00033494545007858097	0.00043351662870696735	0.0002230641445407082	0.0002901223121837903	0.00032600066178130403
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.8030273368813297	0.7817481499249754	0.8074991001903051	0.8111333515761175	0.7516962581071599	0.74256271233122	0.7567954879477263	0.8583486002712192	0.7979743468862934	0.8077303152628922
0.004004578431561505	0.0037869900810742234	0.0044045238055717886	0.0025382611529840863	0.0027417951139297493	0.00553603219394383	0.004902081167084461	0.0017591262418585594	0.0029703652918476	0.0032321316722659413
0.00040045784315615053	0.0003786990081074223	0.00044045238055717885	0.00025382611529840864	0.00027417951139297494	0.000553603219394383	0.0004902081167084461	0.00017591262418585593	0.00029703652918476	0.00032321316722659415
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.688343373493976	0.6802409638554215	0.6902710843373494	0.7101204819277107	0.6732530120481927	0.6226807228915662	0.6753614457831325	0.7404819277108432	0.7134939759036143	0.694277108433735
0.004790103717825126	0.006094766202381563	0.00588784160480271	0.006115570555764082	0.004865739881038234	0.004361857632155523	0.006809893923365914	0.005742199515562638	0.005952587627487046	0.007625896928416966
0.00047901037178251264	0.0006094766202381563	0.000588784160480271	0.0006115570555764083	0.0004865739881038234	0.00043618576321555224	0.0006809893923365914	0.0005742199515562637	0.0005952587627487047	0.0007625896928416966
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.739810356220524	0.7358269313865293	0.7304793047957828	0.7451374138144509	0.730378207025272	0.7158466880222156	0.7319472592134814	0.755056235655342	0.7625254184885785	0.7382238496341954
0.004551586433302044	0.004827746041910149	0.005013332582789543	0.004699369782806068	0.0037799073410747174	0.002737408473251783	0.005115531845758241	0.005468678816981128	0.004508337898325802	0.0057862480529389205
0.0004551586433302044	0.00048277460419101487	0.0005013332582789543	0.0004699369782806068	0.00037799073410747173	0.0002737408473251783	0.0005115531845758241	0.0005468678816981128	0.0004508337898325802	0.000578624805293892
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.6349439434721595	0.6268838557107476	0.6465632899251338	0.664880137508109	0.6217042522455835	0.5741119281546764	0.6233490544208382	0.7149230925647084	0.6511365291992903	0.6455126865788664
0.003270259790939373	0.0048897650666421605	0.0049369208443332474	0.005868290847717597	0.003821381676795692	0.003025510085257515	0.005607066969392902	0.005642202732507455	0.005045313676679444	0.006805448923842854
0.0003270259790939373	0.000488976506664216	0.0004936920844333247	0.0005868290847717597	0.0003821381676795692	0.00030255100852575147	0.0005607066969392901	0.0005642202732507454	0.0005045313676679444	0.0006805448923842854
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.8862048192771084	0.8906626506024096	0.8394578313253009	0.8474698795180723	0.8851204819277111	0.9505421686746989	0.8864457831325301	0.7999999999999998	0.9199397590361449	0.8621084337349397
0.008599700899847955	0.008363520106575198	0.006992883594122842	0.005243386782406963	0.005794103549416068	0.005474640993246533	0.00844985550548526	0.007475707015657149	0.006777844672191039	0.007849607945474917
0.0008599700899847955	0.0008363520106575197	0.0006992883594122842	0.0005243386782406963	0.0005794103549416069	0.0005474640993246533	0.0008449855505485261	0.000747570701565715	0.0006777844672191039	0.0007849607945474917
