LogReg_1	LogReg_2	LogReg_3	LogReg_4	LogReg_5	LogReg_6	LogReg_7	LogReg_8	LogReg_9	LogReg_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.8174992742052548	0.8097626651183046	0.805094353316882	0.8158183335752649	0.7533317607780519	0.7564965887646973	0.7798040354187834	0.8373138336478445	0.817804107998258	0.8006572071418202
0.00247036636361943	0.0023722186830048165	0.0026423932049646063	0.002451192150238739	0.0023725312969874747	0.0029570501740041285	0.003097435179014366	0.0023681826159722345	0.002598517989300739	0.0027555507230196466
0.000247036636361943	0.00023722186830048164	0.00026423932049646063	0.0002451192150238739	0.00023725312969874747	0.00029570501740041287	0.0003097435179014366	0.00023681826159722345	0.00025985179893007386	0.0002755550723019647
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.8032206383753681	0.8046502776529095	0.8085350631280858	0.8118115555768832	0.7496284024571309	0.7545748608253571	0.7825742049346528	0.8602671228668054	0.801325022753843	0.8028166360780175
0.003090313476090511	0.003098616511988232	0.00424237282258766	0.0025897914298006358	0.002464515662584234	0.004324523956067336	0.003270711405036862	0.0018685143299306615	0.0028622045617169786	0.0032683558744555368
0.0003090313476090511	0.0003098616511988232	0.000424237282258766	0.00025897914298006355	0.0002464515662584234	0.00043245239560673357	0.0003270711405036862	0.00018685143299306616	0.00028622045617169786	0.00032683558744555367
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.737680722891566	0.7497891566265059	0.7279819277108436	0.6890361445783131	0.668343373493976	0.6358734939759038	0.7182228915662651	0.7416867469879516	0.7143975903614458	0.7223192771084337
0.0050776915110544284	0.0059063031743062065	0.004166981165853766	0.0062910720436398495	0.004214607828311593	0.006112231774737324	0.004882399119713044	0.005201694733716353	0.004634640815161054	0.004399962225520429
0.0005077691511054429	0.0005906303174306206	0.00041669811658537657	0.000629107204363985	0.00042146078283115935	0.0006112231774737324	0.0004882399119713044	0.0005201694733716353	0.0004634640815161054	0.0004399962225520429
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.7638141764078585	0.7495178945722294	0.7245049293245296	0.7326455258993717	0.7258539999190274	0.7175868986068502	0.7239384183495463	0.7459411104557501	0.7604841124956606	0.7236616367909899
0.004284145316866282	0.006075621854962015	0.0038647032684255623	0.004813296766306394	0.003473369589047254	0.0041000413212428834	0.0053560342199425355	0.00499286888713396	0.0036487231267999308	0.003958614470842388
0.0004284145316866282	0.0006075621854962015	0.00038647032684255625	0.0004813296766306394	0.00034733695890472544	0.00041000413212428834	0.0005356034219942535	0.000499286888713396	0.0003648723126799931	0.0003958614470842388
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.6946422534386544	0.750342723562547	0.733943570354283	0.6425731857030869	0.6185947620391457	0.586093489335269	0.7095276619232307	0.7338854037241894	0.6548394056443008	0.7202291105537391
0.004929015972110617	0.006423881359688326	0.006054610642922778	0.005451167851705364	0.00317701796728932	0.0042939510001802905	0.004377913151456882	0.005953188361239612	0.003962156632267038	0.005766044338606448
0.0004929015972110617	0.0006423881359688326	0.0006054610642922777	0.0005451167851705364	0.000317701796728932	0.0004293951000180291	0.00043779131514568823	0.0005953188361239611	0.0003962156632267038	0.0005766044338606448
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.8483132530120483	0.7487349397590362	0.7153614457831324	0.85210843373494	0.8781325301204821	0.9251807228915664	0.7389759036144578	0.7584337349397591	0.9068072289156629	0.7271686746987953
0.0054136486599182946	0.00791406706700211	0.005863832028292717	0.004771981782456281	0.00570574476278175	0.005332601440079684	0.00781067713528451	0.006289341270428036	0.005868780932668295	0.005272030896077643
0.0005413648659918295	0.0007914067067002111	0.0005863832028292717	0.0004771981782456281	0.000570574476278175	0.0005332601440079683	0.000781067713528451	0.0006289341270428036	0.0005868780932668295	0.0005272030896077643
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
0.3729518072289156	0.24915662650602413	0.2593975903614458	0.47403614457831333	0.5414457831325301	0.653433734939759	0.3025301204819277	0.27506024096385545	0.47801204819277104	0.2825301204819277
0.008131191322198025	0.007785780444049886	0.008680553579780755	0.009813731895686975	0.006669085543661718	0.010724076014182383	0.005359753354104868	0.007864618756803662	0.008406798636718591	0.008325466844027263
0.0008131191322198024	0.0007785780444049886	0.0008680553579780755	0.0009813731895686976	0.0006669085543661718	0.0010724076014182384	0.0005359753354104868	0.0007864618756803661	0.0008406798636718591	0.0008325466844027263
FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR
0.1516867469879518	0.25126506024096384	0.28463855421686746	0.14789156626506025	0.12186746987951809	0.07481927710843374	0.2610240963855422	0.2415662650602409	0.09319277108433735	0.2728313253012048
0.005413648659918308	0.007914067067002114	0.005863832028292703	0.004771981782456288	0.005705744762781745	0.005332601440079694	0.007810677135284518	0.006289341270428039	0.005868780932668304	0.005272030896077649
0.0005413648659918308	0.0007914067067002114	0.0005863832028292703	0.0004771981782456288	0.0005705744762781746	0.0005332601440079694	0.0007810677135284518	0.0006289341270428038	0.0005868780932668304	0.000527203089607765
TP	TP	TP	TP	TP	TP	TP	TP	TP	TP
140.82	124.29	118.75	141.45	145.77	153.58	122.67	125.9	150.53	120.71
0.8986656775464388	1.3137351331223506	0.9733961166965892	0.7921489758877429	0.9471536306217699	0.8852118390532291	1.2965724044572289	1.044030650891055	0.9742176348229383	0.8751571287488893
0.08986656775464388	0.13137351331223507	0.09733961166965892	0.07921489758877429	0.094715363062177	0.0885211839053229	0.12965724044572288	0.1044030650891055	0.09742176348229384	0.08751571287488893
TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
104.09	124.64	122.94	87.31	76.12	57.53	115.78	120.34	86.65	119.1
1.3497777594848717	1.2924395537122813	1.4409718942436038	1.6290794946840375	1.1070682002478438	1.7801966183542761	0.889719056781409	1.305526713629407	1.3955285736952863	1.382027496108525
0.13497777594848717	0.12924395537122813	0.1440971894243604	0.16290794946840376	0.11070682002478438	0.1780196618354276	0.0889719056781409	0.13055267136294071	0.13955285736952863	0.1382027496108525
FP	FP	FP	FP	FP	FP	FP	FP	FP	FP
61.91	41.36	43.06	78.69	89.88	108.47	50.22	45.66	79.35	46.9
1.3497777594848717	1.2924395537122813	1.4409718942436038	1.6290794946840375	1.1070682002478438	1.7801966183542761	0.889719056781409	1.305526713629407	1.3955285736952863	1.3820274961085253
0.13497777594848717	0.12924395537122813	0.1440971894243604	0.16290794946840376	0.11070682002478438	0.1780196618354276	0.0889719056781409	0.13055267136294071	0.13955285736952863	0.13820274961085252
FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
25.18	41.71	47.25	24.55	20.23	12.42	43.33	40.1	15.47	45.29
0.8986656775464387	1.3137351331223504	0.9733961166965892	0.7921489758877429	0.9471536306217699	0.8852118390532292	1.2965724044572289	1.044030650891055	0.9742176348229383	0.8751571287488894
0.08986656775464387	0.13137351331223504	0.09733961166965892	0.07921489758877429	0.094715363062177	0.08852118390532292	0.12965724044572288	0.1044030650891055	0.09742176348229384	0.08751571287488893
