RF_1	RF_2	RF_3	RF_4	RF_5	RF_6	RF_7	RF_8	RF_9	RF_10
0.4156024096385542	0.4212650602409638	0.5186144578313254	0.399277108433735	0.5302409638554217	0.588975903614458	0.4674096385542168	0.34150602409638553	0.4689156626506024	0.5281325301204819
0.015766453985378067	0.011278260418969557	0.01397525445106401	0.012866206336590356	0.02658777098545011	0.015188729003777162	0.01371312471756616	0.012099139272791307	0.012968467849688855	0.01149497987583139
0.0015766453985378067	0.0011278260418969557	0.0013975254451064011	0.0012866206336590357	0.002658777098545011	0.0015188729003777163	0.001371312471756616	0.0012099139272791306	0.0012968467849688854	0.0011494979875831392
FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR
0.1432530120481928	0.10945783132530122	0.12066265060240966	0.18463855421686745	0.13632530120481928	0.07795180722891568	0.16277108433734938	0.17102409638554217	0.09162650602409637	0.12138554216867471
0.010592136315216754	0.00933462844148142	0.008279791220931549	0.008661930026836392	0.017222068738061706	0.011581942186713502	0.010975764748569386	0.011770751373372204	0.011534060335799953	0.008188118806667585
0.0010592136315216755	0.000933462844148142	0.0008279791220931549	0.0008661930026836392	0.0017222068738061706	0.00115819421867135	0.0010975764748569386	0.0011770751373372205	0.0011534060335799952	0.0008188118806667585
TP	TP	TP	TP	TP	TP	TP	TP	TP	TP
142.22	147.83	145.97	135.35	143.37	153.06	138.98	137.61	150.79	145.85
1.7582946283259815	1.5495483212859158	1.374445342674637	1.4378803844548405	2.8588634105182424	1.9226024029944413	1.8219769482625185	1.953944727979786	1.914654015742792	1.3592277219068187
0.17582946283259815	0.15495483212859157	0.1374445342674637	0.14378803844548405	0.28588634105182426	0.19226024029944414	0.18219769482625187	0.19539447279797859	0.19146540157427921	0.13592277219068188
TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
97.01	96.07	79.91	99.72	77.98	68.23	88.41	109.31	88.16	78.33
2.61723136157276	1.8721912295489478	2.3198922388766245	2.135790251873999	4.4135699835847175	2.521329014627008	2.2763787031159817	2.0084571192833565	2.152765663048349	1.9081666593880102
0.261723136157276	0.1872191229548948	0.23198922388766247	0.2135790251873999	0.44135699835847175	0.25213290146270084	0.22763787031159816	0.20084571192833564	0.2152765663048349	0.19081666593880103
FP	FP	FP	FP	FP	FP	FP	FP	FP	FP
68.99	69.93	86.09	66.28	88.02	97.77	77.59	56.69	77.84	87.67
2.61723136157276	1.8721912295489478	2.3198922388766245	2.135790251873999	4.4135699835847175	2.521329014627008	2.2763787031159817	2.0084571192833565	2.152765663048349	1.9081666593880102
0.261723136157276	0.1872191229548948	0.23198922388766247	0.2135790251873999	0.44135699835847175	0.25213290146270084	0.22763787031159816	0.20084571192833564	0.2152765663048349	0.19081666593880103
FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
23.78	18.17	20.03	30.65	22.63	12.94	27.02	28.39	15.21	20.15
1.7582946283259815	1.5495483212859156	1.374445342674637	1.4378803844548407	2.858863410518243	1.9226024029944415	1.8219769482625185	1.953944727979786	1.914654015742792	1.3592277219068187
0.17582946283259815	0.15495483212859157	0.1374445342674637	0.14378803844548407	0.2858863410518243	0.19226024029944416	0.18219769482625187	0.19539447279797859	0.19146540157427921	0.13592277219068188
