SVM_1	SVM_2	SVM_3	SVM_4	SVM_5	SVM_6	SVM_7	SVM_8	SVM_9	SVM_10
0.0013035408509133877	0.0013311502388146717	0.001445172992839755	0.0012645867655087964	0.0012827582585974644	0.000918473597878567	0.0011173911317191266	0.0008925748946265804	0.0009522369141235677	0.0013113682703499773
FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR
0.16431250000000003	0.06279503105590062	0.1947798742138365	0.14062499999999997	0.25087499999999996	0.19700000000000006	0.15670807453416147	0.1586335403726708	0.1659006211180124	0.23285714285714287
0.008018289639941924	0.00864648923934119	0.010275082044640293	0.00945796621901347	0.0075010415943387474	0.0067592529172978855	0.01103616774847981	0.011633989704573612	0.008574803548356394	0.012406667106076161
0.0008018289639941924	0.000864648923934119	0.0010275082044640294	0.0009457966219013471	0.0007501041594338748	0.0006759252917297885	0.001103616774847981	0.0011633989704573611	0.0008574803548356394	0.0012406667106076162
TP	TP	TP	TP	TP	TP	TP	TP	TP	TP
133.71	150.89	128.03	137.5	119.86	128.48	135.77	135.46	134.29	123.51
1.282926342390708	1.3920847675339316	1.6337380450978058	1.5132745950421556	1.2001666550941998	1.0814804667676619	1.7768230075052498	1.8730723424363516	1.3805433712853792	1.9974734040782625
0.1282926342390708	0.13920847675339315	0.1633738045097806	0.15132745950421556	0.12001666550941999	0.10814804667676618	0.177682300750525	0.18730723424363516	0.13805433712853793	0.19974734040782624
TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
105.3	51.37	85.2	74.31	102.26	108.98	93.94	73.93	102.64	92.68
2.0856653614614213	2.143151884491624	2.2978250586152114	2.0233388248140742	2.0524132137559437	1.4695577566057074	1.798999722067794	1.4370455803487932	1.5331014317389444	2.1113029152634635
0.20856653614614212	0.2143151884491624	0.22978250586152113	0.20233388248140743	0.20524132137559437	0.14695577566057075	0.1798999722067794	0.1437045580348793	0.15331014317389444	0.21113029152634635
FP	FP	FP	FP	FP	FP	FP	FP	FP	FP
54.7	109.63	73.8	85.69	57.74	51.02	67.06	87.07	58.36	68.32
2.0856653614614213	2.1431518844916244	2.2978250586152114	2.0233388248140742	2.052413213755943	1.4695577566057074	1.798999722067794	1.4370455803487932	1.5331014317389444	2.1113029152634635
0.20856653614614212	0.21431518844916245	0.22978250586152113	0.20233388248140743	0.2052413213755943	0.14695577566057075	0.1798999722067794	0.1437045580348793	0.15331014317389444	0.21113029152634635
FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
26.29	10.11	30.97	22.5	40.14	31.52	25.23	25.54	26.71	37.49
1.2829263423907078	1.3920847675339314	1.6337380450978058	1.5132745950421556	1.2001666550941998	1.0814804667676619	1.7768230075052496	1.8730723424363513	1.380543371285379	1.997473404078262
0.12829263423907078	0.13920847675339315	0.1633738045097806	0.15132745950421556	0.12001666550941999	0.10814804667676618	0.17768230075052496	0.18730723424363513	0.1380543371285379	0.1997473404078262
